"Date of Download: 2024-01-04_21:14:09"
"Search Parameters: Data Level:all  Trait List:  Trial List:11539,11846,11551,11847,11848,11850,11851  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava mosaic disease severity|at harvesting|COMP:0000294","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","cassava mosaic disease severity 1-month evaluation|CO_334:0000191","cassava mosaic disease severity 3-month evaluation|CO_334:0000192","cassava mosaic disease severity 6-month evaluation|CO_334:0000194","cassava mosaic disease severity 9-month evaluation|CO_334:0000193","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","initial plant vigor assessment 1-5|month 1|COMP:0000370","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root evaluation scaled 1-5|CO_334:0000228","root number per plot counting|CO_334:0000011","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","starch content percentage|CO_334:0000071","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347863","AGF20-C0050","","plot","6669831","202301DMEPR_tani_rep1_AGF20-C0050_63","1","1","63","4","14","test","","3","2","","1","3","","","130","","","4","","","","10","2","225","","5","","","6","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347856","AGF20-C0056","","plot","6669992","202301DMEPR_tani_rep1_AGF20-C0056_14","1","1","14","1","14","test","","2","1","","3","2","","","200","1.5625","1","4","","","","10","1","220","","7","","","7","9","22.72428571","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347851","AGF20-C0076","","plot","6670011","202301DMEPR_tani_rep1_AGF20-C0076_59","1","1","59","4","18","test","","1","0","","2","2.5","","","255","","","4","","","","10","1","255","","6","","","6","9","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347868","AGF20-C0078","","plot","6669858","202301DMEPR_tani_rep1_AGF20-C0078_66","1","1","66","4","11","test","","1","1","","1","1","","","230","","","5","","","","10","1","300","","6","","","6","10","","","",""," (Operator: lizbethpino, Time: ), potential (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347855","AGF20-C0080","","plot","6669827","202301DMEPR_tani_rep1_AGF20-C0080_49","1","1","49","3","11","test","","1","2","","1","1","","","135","","","3","","","","10","4","185","","1","","","1","6","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347865","AGF20-C0085","","plot","6669936","202301DMEPR_tani_rep1_AGF20-C0085_51","1","1","51","3","13","test","","1","3","","1","1","","","175","","","5","","","","10","5","200","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347859","AGF20-C0088","","plot","6669867","202301DMEPR_tani_rep1_AGF20-C0088_69","1","1","69","4","8","test","","4","0","","1","3","","","150","2.34375","1.5","4","","","","10","1","150","","6","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347858","AGF20-C0090","","plot","6669905","202301DMEPR_tani_rep1_AGF20-C0090_57","1","1","57","3","19","test","","1","2","","1","2","","","160","","","5","","","","10","1","220","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347866","AGF20-C0093","","plot","6669971","202301DMEPR_tani_rep1_AGF20-C0093_39","1","1","39","3","1","test","","1","4","","1","1","","","125","12.5","8","3","","","","10","3","180","","8","","","4","10","17.53711409","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347864","AGF20-C0104","","plot","6669896","202301DMEPR_tani_rep1_AGF20-C0104_12","1","1","12","1","12","test","","1","3","","1","1","","","95","3.125","2","4","","","","10","4","230","","7","","","6","8","21.83655738","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","6347869","AGF20-C0109","","plot","6670001","202301DMEPR_tani_rep1_AGF20-C0109_10","1","1","10","1","10","test","","1","0","","3","2","","","240","3.90625","2.5","4","","","","10","1","240","","8","","","8","10","16.2015","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","2732020","CR24-16","","plot","6669912","202301DMEPR_tani_rep1_CR24-16_60","1","1","60","4","17","check","","1","0","","1","1","","","195","","","4","","","","10","1","195","","6","","","7","10","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","723","IITA-TMS-IBA980581","98/0581,980581,Dixon,I980581,IBA980581,IITA-IBA980581,IITA-TMS-980581,TMS 98/0581,TMS-I980581","plot","6669882","202301DMEPR_tani_rep1_IBA980581_40","1","1","40","3","2","check","","1","0","","1","1","","","170","","","5","","","","10","1","170","","7","","","7","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","3661328","KM505","","plot","6670021","202301DMEPR_tani_rep1_KM505_1","1","1","1","1","1","check","","2","2","","1","2","","","175","40.625","26","4","","","","10","2","250","","8","","","0","10","24.7279974","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","2451401","KU50","","plot","6669962","202301DMEPR_tani_rep1_KU50_34","1","1","34","2","5","check","","4","1","","1","3","","","225","10.15625","6.5","5","","","","10","1","250","","6","","","4","7","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","39671","TMEB419","GBAZEKOUTE,OBAMA,TME 419","plot","6669898","202301DMEPR_tani_rep1_TMEB419_48","1","1","48","3","10","check","","1","0","","1","1","","","255","","","5","","","","10","1","255","","7","","","8","9","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992880","VF21-0005","","plot","6669921","202301DMEPR_tani_rep1_VF21-0005_73","1","1","73","4","4","test","","1","1","","2","1","","","145","","","","","","","10","2","160","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992883","VF21-0015","","plot","6670054","202301DMEPR_tani_rep1_VF21-0015_26","1","1","26","2","13","test","","1","2","","1","1","","","120","","","5","","","","10","2","160","","8","","","6","9","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992884","VF21-0017","","plot","6670005","202301DMEPR_tani_rep1_VF21-0017_24","1","1","24","2","15","test","","1","1","","1","1","","","160","9.375","6","4","","","","10","1","175","","6","","","6","10","19.04056088","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992890","VF21-0055","","plot","6669974","202301DMEPR_tani_rep1_VF21-0055_35","1","1","35","2","4","test","","1","1","","1","1","","","190","11.71875","7.5","","","","","10","1","230","","8","","","5","10","24.42490909","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992894","VF21-0080","","plot","6670028","202301DMEPR_tani_rep1_VF21-0080_30","1","1","30","2","9","test","","1","2","","1","1","","","170","0.3125","0.2","5","","","","10","2","210","","7","","","8","10","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992895","VF21-0084","","plot","6669918","202301DMEPR_tani_rep1_VF21-0084_68","1","1","68","4","9","test","","1","2","","1","1","","","130","","","4","","","","10","2","225","","8","","","8","8","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992902","VF21-0109","","plot","6669961","202301DMEPR_tani_rep1_VF21-0109_8","1","1","8","1","8","test","","1","0","","1","1","","","275","12.5","8","4","","","","10","1","275","","8","","","7","10","22.69347935","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992905","VF21-0142","","plot","6669887","202301DMEPR_tani_rep1_VF21-0142_41","1","1","41","3","3","test","","1","2","","1","1","","","275","3.125","2","5","","","","10","1","300","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992907","VF21-0146","","plot","6669959","202301DMEPR_tani_rep1_VF21-0146_67","1","1","67","4","10","test","","1","1","","1","1","","","275","3.125","2","3","","","","10","1","300","","7","","","5","10","11.95995215","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992908","VF21-0148","","plot","6669866","202301DMEPR_tani_rep1_VF21-0148_65","1","1","65","4","12","test","","1","0","","2","1","","","200","","","4","","","","10","1","200","","7","","","7","10","22.01289017","","",""," (Operator: lizbethpino, Time: ), potential (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992909","VF21-0149","","plot","6670014","202301DMEPR_tani_rep1_VF21-0149_42","1","1","42","3","4","test","","1","1","","1","1","","","225","","","4","","","","10","1","275","","7","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992911","VF21-0172","","plot","6669985","202301DMEPR_tani_rep1_VF21-0172_47","1","1","47","3","9","test","","1","2","","1","1","","","180","","","5","","","","10","2","225","","7","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992914","VF21-0184","","plot","6669832","202301DMEPR_tani_rep1_VF21-0184_7","1","1","7","1","7","test","","1","0","","1","1","","","250","14.0625","9","4","","","","10","1","250","","8","","","7","10","17.5952356","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992919","VF21-0197","","plot","6670022","202301DMEPR_tani_rep1_VF21-0197_23","1","1","23","2","16","test","","1","2","","1","1","","","150","1.5625","1","4","","","","10","2","175","","8","","","8","10","15.21917251","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992920","VF21-0200","","plot","6669847","202301DMEPR_tani_rep1_VF21-0200_37","1","1","37","2","2","test","","1","3","","1","1","","","175","3.125","2","5","","","","10","1","290","","8","","","6","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992921","VF21-0202","","plot","6669935","202301DMEPR_tani_rep1_VF21-0202_72","1","1","72","4","5","test","","1","1","","3","1","","","195","","","5","","","","10","1","250","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992923","VH21-0016","","plot","6670040","202301DMEPR_tani_rep1_VH21-0016_29","1","1","29","2","10","test","","1","1","","1","1","","","180","4.6875","3","5","","","","10","1","225","","8","","","8","9","18.31962406","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992924","VH21-0019","","plot","6669972","202301DMEPR_tani_rep1_VH21-0019_21","1","1","21","2","18","test","","1","2","","1","1","","","160","","","4","","","","10","1","190","","8","","","8","9","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992928","VH21-0041","","plot","6669830","202301DMEPR_tani_rep1_VH21-0041_45","1","1","45","3","7","test","","1","1","","1","1","","","180","4.6875","3","3","","","","10","2","250","","7","","","4","9","10.81865248","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992935","VH21-0061","","plot","6669865","202301DMEPR_tani_rep1_VH21-0061_43","1","1","43","3","5","test","","1","0","","1","1","","","310","","","5","","","","10","1","310","","0","","","6","8","","","",""," (Operator: lizbethpino, Time: ), shooting (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992939","VH21-0072","","plot","6669875","202301DMEPR_tani_rep1_VH21-0072_44","1","1","44","3","6","test","","1","2","","1","1","","","160","","","5","","","","10","4","275","","6","","","7","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992950","VH21-0095","","plot","6669973","202301DMEPR_tani_rep1_VH21-0095_13","1","1","13","1","13","test","","1","1","","1","1","","","255","0.78125","0.5","5","","","","10","2","300","","0","","","5","10","39.462","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992951","VH21-0097","","plot","6669843","202301DMEPR_tani_rep1_VH21-0097_46","1","1","46","3","8","test","","1","2","","1","1","","","180","7.8125","5","5","","","","10","2","275","","8","","","8","10","21.83075342","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992962","VH21-0127","","plot","6669990","202301DMEPR_tani_rep1_VH21-0127_20","1","1","20","2","19","test","","1","3","","1","2","","","230","","","5","","","","10","2","275","","8","","","8","10","19.96850953","","","","not clearly CMD (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992966","VH21-0172","","plot","6669846","202301DMEPR_tani_rep1_VH21-0172_64","1","1","64","4","13","test","","1","0","","1","1","","","130","","","5","","","","10","1","130","","8","","","8","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992971","VH21-0201","","plot","6670041","202301DMEPR_tani_rep1_VH21-0201_31","1","1","31","2","8","test","","1","2","","1","1","","","155","2.34375","1.5","5","","","","10","2","225","","7","","","7","10","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992972","VH21-0203","","plot","6669861","202301DMEPR_tani_rep1_VH21-0203_22","1","1","22","2","17","test","","1","0","","1","1","","","100","","","3","","","","10","1","100","","8","","","7","10","28.96970149","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11539","202301DMEPR_tani","202301DMEPR_tani","RCBD","2","4","","no","no","2023-February-09","2023-December-08","467","Tay Ninh","4992978","VH21-0371","","plot","6669950","202301DMEPR_tani_rep1_VH21-0371_19","1","1","19","1","19","test","","1","0","","1","1","","","200","","","3","","","","10","1","200","","7","","","8","10","","","",""," (Operator: lizbethpino, Time: ), shooting little (Operator: lizbethpino, Time: )"
